年月,地區,信用卡產業別,性別,年齡層,信用卡交易筆數,信用卡交易金額[新臺幣]
201401,臺灣,食,2,未滿20歲,6367,5630047
201401,臺灣,食,2,20(含)-25歲,161676,183810183
201401,臺灣,食,2,25(含)-30歲,531329,716481801
201401,臺灣,食,2,30(含)-35歲,959999,1404051220
201401,臺灣,食,2,35(含)-40歲,1238121,1838346773
201401,臺灣,食,2,40(含)-45歲,1322535,2030080753
201401,臺灣,食,2,45(含)-50歲,1235337,1938853416
201401,臺灣,食,2,50(含)-55歲,956823,1570283907
201401,臺灣,食,2,55(含)-60歲,654915,1080362829
201401,臺灣,食,2,60(含)-65歲,386736,617305513
201401,臺灣,食,2,65(含)-70歲,133363,199052101
201401,臺灣,食,2,70(含)-75歲,54349,82834404
201401,臺灣,食,2,75(含)-80歲,17844,27244702
201401,臺灣,食,2,80(含)歲以上,14731,26009002
201401,臺灣,衣,2,未滿20歲,2530,5136820
201401,臺灣,衣,2,20(含)-25歲,61416,141537155
201401,臺灣,衣,2,25(含)-30歲,171894,429042854
201401,臺灣,衣,2,30(含)-35歲,304144,792412493
201401,臺灣,衣,2,35(含)-40歲,354979,958120114
201401,臺灣,衣,2,40(含)-45歲,329681,967435761
201401,臺灣,衣,2,45(含)-50歲,264694,896308316
201401,臺灣,衣,2,50(含)-55歲,166614,651447643
201401,臺灣,衣,2,55(含)-60歲,93533,409716915
201401,臺灣,衣,2,60(含)-65歲,45569,203221744
201401,臺灣,衣,2,65(含)-70歲,13304,57662049
201401,臺灣,衣,2,70(含)-75歲,4213,20586838
201401,臺灣,衣,2,75(含)-80歲,1160,5634529
201401,臺灣,衣,2,80(含)歲以上,4641,20031064
201401,臺灣,住,2,未滿20歲,863,2646951
201401,臺灣,住,2,20(含)-25歲,25353,89107123
201401,臺灣,住,2,25(含)-30歲,83720,349610672
201401,臺灣,住,2,30(含)-35歲,148789,684431407
201401,臺灣,住,2,35(含)-40歲,184001,917024301
201401,臺灣,住,2,40(含)-45歲,193448,1020457469
201401,臺灣,住,2,45(含)-50歲,180897,1026409941
201401,臺灣,住,2,50(含)-55歲,140203,783845845
201401,臺灣,住,2,55(含)-60歲,91729,563711833
201401,臺灣,住,2,60(含)-65歲,48039,267251315
201401,臺灣,住,2,65(含)-70歲,15473,80795927
201401,臺灣,住,2,70(含)-75歲,5659,30130337
201401,臺灣,住,2,75(含)-80歲,1973,13429677
201401,臺灣,住,2,80(含)歲以上,2590,17404327
201401,臺灣,行,2,未滿20歲,8667,5330730
201401,臺灣,行,2,20(含)-25歲,183382,126563809
201401,臺灣,行,2,25(含)-30歲,519521,447573959
201401,臺灣,行,2,30(含)-35歲,748247,755189680
201401,臺灣,行,2,35(含)-40歲,774249,860115925
201401,臺灣,行,2,40(含)-45歲,717436,837983340
201401,臺灣,行,2,45(含)-50歲,622035,742245609
201401,臺灣,行,2,50(含)-55歲,472357,564143557
201401,臺灣,行,2,55(含)-60歲,284858,344248657
201401,臺灣,行,2,60(含)-65歲,133953,155854912
201401,臺灣,行,2,65(含)-70歲,36835,41044769
201401,臺灣,行,2,70(含)-75歲,11513,13364651
201401,臺灣,行,2,75(含)-80歲,2772,3549711
201401,臺灣,行,2,80(含)歲以上,5242,7677708
201401,臺灣,文教康樂,2,未滿20歲,4669,21169066
201401,臺灣,文教康樂,2,20(含)-25歲,99224,295395830
201401,臺灣,文教康樂,2,25(含)-30歲,266763,954549549
201401,臺灣,文教康樂,2,30(含)-35歲,365586,1495385204
201401,臺灣,文教康樂,2,35(含)-40歲,395379,1825121251
201401,臺灣,文教康樂,2,40(含)-45歲,375627,2063412404
201401,臺灣,文教康樂,2,45(含)-50歲,303692,1954559660
201401,臺灣,文教康樂,2,50(含)-55歲,192584,1365779855
201401,臺灣,文教康樂,2,55(含)-60歲,105359,785637839
201401,臺灣,文教康樂,2,60(含)-65歲,51079,406127605
201401,臺灣,文教康樂,2,65(含)-70歲,15453,131422023
201401,臺灣,文教康樂,2,70(含)-75歲,5456,54178147
201401,臺灣,文教康樂,2,75(含)-80歲,1766,18209158
201401,臺灣,文教康樂,2,80(含)歲以上,5004,44407782
201401,臺灣,百貨,2,未滿20歲,5872,11794450
201401,臺灣,百貨,2,20(含)-25歲,147438,313875867
201401,臺灣,百貨,2,25(含)-30歲,465417,1100421237
201401,臺灣,百貨,2,30(含)-35歲,780601,1912333469
201401,臺灣,百貨,2,35(含)-40歲,890917,2296828045
201401,臺灣,百貨,2,40(含)-45歲,826221,2336269912
201401,臺灣,百貨,2,45(含)-50歲,677773,2121979058
201401,臺灣,百貨,2,50(含)-55歲,448195,1596488766
201401,臺灣,百貨,2,55(含)-60歲,270259,985888820
201401,臺灣,百貨,2,60(含)-65歲,146400,516820152
201401,臺灣,百貨,2,65(含)-70歲,47565,165428702
201401,臺灣,百貨,2,70(含)-75歲,18877,67382284
201401,臺灣,百貨,2,75(含)-80歲,7330,25281412
201401,臺灣,百貨,2,80(含)歲以上,8301,26576869
201401,臺灣,其他,2,未滿20歲,7755,10343486
201401,臺灣,其他,2,20(含)-25歲,238496,538222055
201401,臺灣,其他,2,25(含)-30歲,842877,1953637557
201401,臺灣,其他,2,30(含)-35歲,1446248,3669123747
201401,臺灣,其他,2,35(含)-40歲,1646049,4785965309
201401,臺灣,其他,2,40(含)-45歲,1534392,5038047937
201401,臺灣,其他,2,45(含)-50歲,1327418,5019792481
201401,臺灣,其他,2,50(含)-55歲,935969,4000279515
201401,臺灣,其他,2,55(含)-60歲,560310,2596157288
201401,臺灣,其他,2,60(含)-65歲,275456,1323791156
201401,臺灣,其他,2,65(含)-70歲,74851,410635044
201401,臺灣,其他,2,70(含)-75歲,25041,151883084
201401,臺灣,其他,2,75(含)-80歲,6885,38569379
201401,臺灣,其他,2,80(含)歲以上,17461,105369698
201402,臺灣,食,2,未滿20歲,5557,4965833
201402,臺灣,食,2,20(含)-25歲,135603,143145844
201402,臺灣,食,2,25(含)-30歲,435086,524280350
201402,臺灣,食,2,30(含)-35歲,779241,968039952
201402,臺灣,食,2,35(含)-40歲,995923,1202989483
201402,臺灣,食,2,40(含)-45歲,1059655,1291351831
201402,臺灣,食,2,45(含)-50歲,983078,1237100879
201402,臺灣,食,2,50(含)-55歲,738107,977986161
201402,臺灣,食,2,55(含)-60歲,489224,668079023
201402,臺灣,食,2,60(含)-65歲,284980,382151244
201402,臺灣,食,2,65(含)-70歲,97515,133314472
201402,臺灣,食,2,70(含)-75歲,38769,52802841
201402,臺灣,食,2,75(含)-80歲,13363,20160588
201402,臺灣,食,2,80(含)歲以上,10758,19095719
201402,臺灣,衣,2,未滿20歲,2078,4021366
201402,臺灣,衣,2,20(含)-25歲,46864,101832950
201402,臺灣,衣,2,25(含)-30歲,119769,285306818
201402,臺灣,衣,2,30(含)-35歲,197793,490669167
201402,臺灣,衣,2,35(含)-40歲,215989,546254476
